探し続ける,さがしつづける
さがしつづける,to keep searching
旅,たび
たび,journey
始まる,はじまる
はじまる,to begin
黄ばんだ,きばんだ
きばんだ,yellowed
地図,ちず
ちず,map
天使,てんし
てんし,angel
絵,え
え,picture
指さす,ゆびさす
ゆびさす,to point at
先,さき
さき,ahead/point
暗い,くらい
くらい,dark
コロセウム,colosseum
待つ,まつ
まつ,to wait
震える,ふるえる
ふるえる,to tremble
胸,むね
むね,chest/heart
あの日,あのひ
あのひ,that day
秘密,ひみつ
ひみつ,secret
キス,kiss
辛い,つらい
つらい,painful
宿命,しゅくめい
しゅくめい,fate
追い続ける,おいつづける
おいつづける,to continue pursuing
後悔,こうかい
こうかい,regret
しない,won't do
あなた,you
ついてく,to follow (colloquial)
歌,うた
うた,song
星,ほし
ほし,star
道しるべ,みちしるべ
みちしるべ,guidepost
負けない,まけない
まけない,won't lose
明日,あした
あした,tomorrow
セーラーエール,Sailor Yell
絶対,ぜったい
ぜったい,absolutely
見つける,みつける
みつける,to find
セーラースター,Sailor Star
羽,はね
はね,wing
飛び立つ,とびたつ
とびたつ,to take off
