どんな,whatever/any kind of
ピンチ,crisis/pinch
時,とき
とき,time/when
絶対,ぜったい
ぜったい,absolutely/definitely
あきらめる,to give up
そう,like that
それ,that
可憐,かれん
かれん,lovely/sweet
乙女,おとめ
おとめ,maiden/young girl
ポリシー,policy
いつか,someday
ホント,really/truth
出会う,であう
であう,to encounter/meet
大事,だいじ
だいじ,precious/important
人,ひと
ひと,person
ため,for the sake of
顔,かお
かお,face
上げる,あげる
あげる,to raise
飛び込む,とびこむ
とびこむ,to leap in
ゆく,to go (variant of 行く)
ツン,prickly
痛い,いたい
いたい,painful/hurts
胸,むね
むね,chest/heart
奥,おく
おく,depths
恋,こい
こい,love
目覚める,めざめる
めざめる,to awaken
コワイ,scary (colloquial)
もの,thing
なんか,such as
ときめく,to swell
方,ほう
ほう,way/direction
いい,good
大きな,large/big
夢,ゆめ
ゆめ,dream
ある,to exist/to have (inanimate)
だから,therefore/so
ピッ,sharp (sound)/quick
凛々しい,りりしい
りりしい,gallant
もっと,more
大変,たいへん
たいへん,difficult/tough/very
こと,thing/matter
いっぱい,a lot/full
待ち受ける,まちうける
まちうける,to await/lie in wait
きっと,surely
華麗,かれい
かれい,splendid/magnificent
はばたく,to flap (wings)/to soar
チャンス,chance/opportunity
みんな,everyone
本気,ほんき
ほんき,seriousness/earnestness
とき,time/when
とっても,very/extremely
きれい,pretty/beautiful/clean
自信,じしん
じしん,self-confidence
持つ,もつ
もつ,to hold/to have
クリア,clear/to clear
する,to do
今,いま
いま,now
眠る,ねむる
ねむる,to sleep
未知,みち
みち,unknown
パワー,power
あふれる,to overflow/brim
なりたい,want to become
もの,thing
になる,to become
がんばる,to do one’s best
ひと,person
涙,なみだ
なみだ,tears
たまに,occasionally
