昼,ひる
ひる,daytime/noon
花,はな
はな,flower
香り,かおり
かおり,fragrance/scent
夜,よる
よる,night
星,ほし
ほし,star
瞬き,またたき
またたき,twinkling/blinking
そこ,there
誰,だれ
だれ,who
知らない,しらない
しらない,unknown/don’t know
世界,せかい
せかい,world
白い,しろい
しろい,white
靴,くつ
くつ,shoes
鳴らす,ならす
ならす,to ring/make sound
月,つき
つき,moon/month
橋,はし
はし,bridge
あたる,to hit
甘い,あまい
あまい,sweet
夢,ゆめ
ゆめ,dream
見る,みる
みる,to see
お姫様,おひめさま
おひめさま,princess
住む,すむ
すむ,to live in
祈り,いのり
いのり,prayer
捧げる,ささげる
ささげる,to offer
きっと,surely
幸せ,しあわせ
しあわせ,happiness
する,to make
くれる,to give (to me/speaker)
回る,まわる
まわる,to turn/revolve
月,つき
つき,moon
涼しげ,すずしげ
すずしげ,cool-looking/refreshing (appearance)
ひるがえす,to flutter
いつ,when
だって,even
見守る,みまもる
みまもる,to watch over
