chapter,kana,meaning
6,おはようございます,good morning.
6,こんにちは,good afternoon.
6,こんばんは,good evening.
6,おやすみなさい,goodnight.
6,どうもありがとうございます,thank you very much.
6,ありがとう,thank you.
6,どうも,thanks.
6,どういたしまして,you&rsquo;re welcome.
6,はじめまして,nice to meet you.
6,どうぞよろしく,nice to meet you.
6,おじぎ,bow
6,おなまえ,(your) name
6,はい,yes
6,いいえ,no
6,アメリカ,America
6,カナダ,Canada
6,～じん,suffix that attaches to country names to mean a person from that country
6,にほんじん,Japanese person
6,アメリカじん,American person
6,です,to be
6,なん,what?
6,は,topic marker
6,か,question marker
6,にほん,japan
6,なに,what?
6,まりこ,Mariko
6,ジョン,John
6,ありがとうございます,thank you very much.
6,あ,oh!
7,ねこ,cat
7,えんぴつ,pencil
7,ペン,pen
7,でしょう,conjecture form of です. similar to &ldquo;it will probably be&rdquo; or &ldquo;it might be.&rdquo;
7,りんご,apple
7,みず,water
7,いぬ,dog
7,うま,horse
7,とり,bird
8,へや,room
8,いま,living room
8,だいどころ,kitchen
8,れいぞうこ,refrigerator
8,おてあらい,bathroom (polite)
8,トイレ,bathroom
8,ながしだい,sink
8,おふろ,bath
8,おふろば,bath-room, e.g., room that has the bath in it
8,やね,roof
8,てんじょう,ceiling
8,かべ,wall
8,ゆか,hardwood floor
8,ドア,door
8,まど,window
8,ほんだな,bookshelf
8,ベッド,bed
8,たたみ,tatami
8,しょうじ,sliding paper door
8,ふとん,futon
8,テレビ,tv
8,ラジオ,radio
8,とけい,clock, watch
8,エアコン,air conditioning
8,さら,plate
8,ちゃわん,bowl
8,コップ,cup
8,おはし,chopsticks
8,スプーン,spoon
8,ナイフ,knife
8,テーブル,table
8,カウチ,couch
8,コンピューター,computer
8,いす,chair
8,ほん,book
8,いえ,house
9,いち,one
9,に,two
9,し,four
9,よん,four
9,ろく,six
9,なな,seven
9,しち,seven
9,はち,eight
9,きゅう,nine
9,く,nine
9,じゅう,ten
9,にじゅう,twenty
9,さんじゅう,thirty
9,よんじゅう,forty
9,ろくじゅう,sixty
9,ななじゅう,seventy
9,はちじゅう,eighty
9,きゅうじゅう,ninety
9,ひゃく,hundred
9,にひゃく,two hundred
9,さんびゃく,three hundred
9,よんひゃく,four hundred
9,ごひゃく,five hundred
9,ろっぴゃく,six hundred
9,ななひゃく,seven hundred
9,はっぴゃく,eight hundred
9,きゅうひゃく,nine hundred
9,せん,thousand
9,にせん,two thousand
9,さんぜん,three thousand
9,よんせん,four thousand
9,ごせん,five thousand
9,ろくせん,six thousand
9,ななせん,seven thousand
9,はっせん,eight thousand
9,きゅうせん,nine thousand
9,まん,ten thousand
9,おく,one hundred million
9,さん,three
9,ご,five
9,ごじゅう,fifty
10,きのう,yesterday
10,あした,tomorrow
10,おととい,the day before yesterday
10,あさって,the day after tomorrow
10,よる,night
10,ゆうべ,last night
10,にちようび,sunday
10,らいしゅう,next week
10,せんせんしゅう,the week before last
10,さらいしゅう,the week after next
10,せんせんげつ,the month before last
10,さらいげつ,the month after next
10,～がつ,suffix for month of year
10,いちがつ,January
10,にがつ,February
10,さんがつ,March
10,しがつ,April
10,しちがつ,July
10,くがつ,September
10,きょねん,last year
10,おととし,the year before last
10,さらいねん,the year after next
10,まい～,prefix meaning &ldquo;every.&rdquo;
10,まいしゅう,every week
10,まいつき,every month
10,まいとし,every year
10,いい,good
10,おてんき,weather
10,こうえん,park
10,ね,agreement seeker
10,まいにち,every day
10,らいげつ,next month
10,げつようび,Monday
10,かようび,Tuesday
10,すいようび,Wednesday
10,もくようび,Thursday
10,きんようび,Friday
10,どようび,Saturday
10,せんしゅう,last week
10,せんげつ,last month
10,なつ,summer
10,ふゆ,winter
10,こんげつ,this month
10,こんしゅう,this week
10,きょう,today
10,あき,autumn
10,はる,spring (season)
10,ことし,this year
10,らいねん,next year
10,けさ,this morning
10,ろくがつ,June
10,はちがつ,August
10,じゅうがつ,October
12,いってきます,i&rsquo;m leaving!
12,いってらっしゃい,see you when you get home!
12,ただいま,i&rsquo;m home!
12,おかえりなさい,welcome back!
12,すみません,excuse me / i&rsquo;m sorry
12,しつれいします,excuse me.
12,さよなら,goodbye.
12,では,well then...
12,じゃ、また,see you later.
12,またね,later!
12,じゃあね,see ya!
13,そう,that way, so
13,なんようび,which day of the week?
13,なんがつ,what month?
14,スーパーマーケット,supermarket
14,スーパー,supermarket (abbreviated form)
14,ゆうびんきょく,post office
14,えき,train station
14,コンビニ,convenience store
14,こうばん,police box
14,～や,a suffix that can attach to any noun to mean a store that sells that thing
14,ほんや,bookstore
14,パン,bread
14,パンや,bread store (bakery)
14,～やさん,a suffix that can attach to any noun to mean a person who works at a store that sells that thing
14,ほんやさん,bookseller
14,みずうみ,lake
14,たいよう,sun
14,バイク,motorized cycle
14,オートバイ,&ldquo;automatic bicycle,&rdquo; motorcycle
14,タクシー,taxi
14,バス,bus
14,バスてい,bus stop
14,はな,flower
14,みせ,store, shop
14,き,tree, wood
14,でんしゃ,train
14,やま,mountain
14,かわ,river
14,あめ,rain
14,ぎんこう,bank
14,くも,cloud
14,そら,sky
14,レストラン,restaurant
14,くるま,car
14,じてんしゃ,bicycle
14,くさ,grass
14,ちかてつ,subway
14,みち,road, way
15,あなた,you
15,ともだち,friend
15,～たち,pluralizer for human-related words
15,～さん,a polite name suffix
15,ひと,person
15,わたし,i / me
17,たべもの,food
17,わしょく,Japanese food
17,ようしょく,Western food
17,しょうゆ,soy sauce
17,てんぷら,tempura
17,す,vinegar
17,やきとり,skewered chicken
